headword,pronunciation,approval_batch,use_type,root_word,meaning,usage_note,derivation,origin_nation,national_usage,variant_forms,variant_pronunciations,related_words,example_celan,example_translation,source_entry_ids
Arthrin,/ahrth-reen/,General Magic and Metaphysical Practice 1,Noun,ARTH; RIN,Ward; a maintained protective condition held through essence bond intention or magic,,Arth protection + Rin essence,,,Artharin,/ahr-thah-reen/,Arth; Rin; Arthaxar; Rin-; Arthen; Balrin; Arthkal; Belrin; Arthkaraen; Brosrin; Arthlor; Kalrin; Arthverd; Kelrin; Arthzhelshara; Kesrin; Drenartheth; Phelrin; Kaarthaen; Rathrin; Shanartheth; Rinaen; Welarth; Rinarshor; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,rinaen vorkor rinbeleth ser arthrin shalvar la.,The gate is enchanted and a ward stands before it.,LX-GMMP1-0015
Arthverd,/ahrth-vehrd/,National Expansion 1,Noun,ARTH; VERD,Protective living vegetation,,Arth + Verd,Verdalris,A cultivated hedge or living plant barrier.,,,Arth; Verd; Arthaxar; Belverd; Arthen; Drenverd; Arthkal; Felverd; Arthkaraen; Mavverd; Arthlor; Morlverd; Arthrin; Verdbel; Arthzhelshara; Verdeth; Drenartheth; Verdin; Kaarthaen; Verdmarin; Shanartheth; Verdor; Welarth; Verdpel; Verdselzhir; Verdsov; Verdvin; Verdxar; Zhirverd,arth arthverd teremil.,The living hedge protects the home.,LX-NE1-0019
Arthzhelshara,/ahrth-zhehl-shah-rah/,"Information, Computation, Automation, and Electrical Systems 1",Noun,ARTH,Circuit protector; a fuse breaker or comparable component that interrupts dangerous electrical conditions,,Arth protection + Zhelshara circuit,,,Arthazhelshara,/ahr-thah-zhehl-shah-rah/,Arth; Rethzhelshara; Arthaxar; Zhelshara; Arthen; Arthkal; Arthkaraen; Arthlor; Arthrin; Arthverd; Drenartheth; Kaarthaen; Shanartheth; Welarth,bel mekral arthzhelshara ser morzhelshan.,The technician connects the circuit protector to the electrical ground.,LX-ICAES1-0052
Aru,/ah-roo/,General Magic and Metaphysical Practice 1,Noun,,Magic; intentional relationship or practice through which extraordinary forces beings places artifacts conditions or systems produce effects beyond ordinary causation,,,,,,,Aruaen; Arueth; Arukel; Arukelaen; Arural; Esharu; Kaaruaen; Kaarueth; Kalaru; Mekaru; Rinaru,rinaen aru an rinvek; rinaen la arueth.,Magic is in the artifact; it is magical.,LX-GMMP1-0001; XR-aru
Aruaen,/ah-roo-ah-ehn/,General Magic and Metaphysical Practice 1,Verb,ARU,To use or practice magic generally,,Aru magic + -aen verb,,,,,Aru; Arueth; Arukel; Arukelaen; Arural; Esharu; Kaaruaen; Kaarueth; Kalaru; Mekaru; Rinaru,rinaen vek kaarueth; aruaen seren an shalor.,The carrier is nonmagical; the guardian practices magic in the sanctuary.,LX-GMMP1-0004
Arueth,/ah-roo-ehth/,General Magic and Metaphysical Practice 1,Adjective,ARU,Magical; relating to magic or produced through magical practice,,Aru magic + -eth adjective,,,,,Aru; Aruaen; Arukel; Arukelaen; Arural; Esharu; Kaaruaen; Kaarueth; Kalaru; Mekaru; Rinaru,rinaen aru an rinvek; rinaen la arueth.,Magic is in the artifact; it is magical.,LX-GMMP1-0002
Arukel,/ah-roo-kehl/,General Magic and Metaphysical Practice 1,Noun,ARU; KEL,Spell; a bounded repeatable magical formulation encoded through words movement marks calculation music tools or another defined expression,,Aru magic + Kel defined expression or text,,,,,Aru; Kel; Arukelaen; Aruaen; Kel-; Arueth; Dovkel; Jekkel; Arural; Kalkel; Esharu; Keldoraen; Kaaruaen; Keljek; Kaarueth; Kelka; Kalaru; Kelnemaen; Mekaru; Kelpel; Rinaru; Kelpral; Kelreth; Kelrin; Keltharaen; Kelvekral; Kelvok; Khumkel; Rakel; Rakukel; Rathlorkel; Sivkel; Velkelor; Welkelthar; Zhirkel,kes esharu an arukel.,Mental magic is evident in the spell.,LX-GMMP1-0009
Arukelaen,/ah-roo-keh-lah-ehn/,General Magic and Metaphysical Practice 1,Verb,ARU,To cast or activate a spell,,Arukel spell + -aen verb,,,,,Aru; Arukel; Aruaen; Arueth; Arural; Esharu; Kaaruaen; Kaarueth; Kalaru; Mekaru; Rinaru,arukelaen arural arukel.,The practitioner casts the spell.,LX-GMMP1-0010
Arural,/ah-roo-rahl/,General Magic and Metaphysical Practice 1,Noun,ARU,Magical practitioner; a person who intentionally practices or works with magic,,Aru magic + -ral practitioner,,,,,Aru; Aruaen; Arueth; Arukel; Arukelaen; Esharu; Kaaruaen; Kaarueth; Kalaru; Mekaru; Rinaru,aruaen arural shan ohmpel.,The magical practitioner works magic through a focus.,LX-GMMP1-0005
Athnor,/ath-nohr/,Conversational Narrative Engine 1,Particle,ATH; NOR,Already; completed by the reference time,,Ath + Nor,,,Athanor,/ath-ah-nohr/,Dovath; Nor; Drenkorath; Aennor; Felath; Belnoraen; Kalorinath; Delnor; Krezmorath; Eshnor; Serathrin; Eshweknor; Sivathaen; Felnor; Zhirath; Jornor; Nethnor; nor-ka; Noraen; Noral; Normav; Normek; Norpral; Norreth; Norshan; Norzhir; Pelnor; Rathnor; Sernor; Shalnor; Thalnor; Thalnoraen; Varnor; Velnor; Vethnor; Weknor; Xilnor,tha-velaen I morlak athnor.,I already ate the bread.,LX-CNE1-0019
Awek,/ah-wehk/,,Noun,,Spring,,,,,,,Awekshara,Theraen thar-ian an awek. Rinaen an-rin lian morlak kadreneth.,My heart longs for the spring. It feels like the truth of dry bread.,LX-V2-0079; XR-awek
Awekshara,/ah-wehk-shah-rah/,National Expansion 1,Noun,AWEK; SHARA,Spring-fed canal,,Awek + Shara,Jasara,A channel carrying spring water into settlements or fields.,,,Awek; Shara; Shara-; Belshara; Brosshara; Dralshara; Droshara; Emilshara; Felshara; Kasharaen; Kinnshara; Lorshara; Mekshara; Morlshara; Nakshara; Rakushara; Rethshara; Sharaen; Sharaka; Sharalorin; Sharashen; Sharavok; Sharbel; Tharshara; Tharsharaen; Vershara; Weksharaen; Zhelshara; Zhirshara,var I an awekshara.,I go to the spring-fed canal.,LX-NE1-0005
Azan,/ah-zahn/,,Noun,,"Feminine essence (nurturing, fluidity).",Preserved as standalone root/morpheme because source clearly defines it.,,,,,,Azfel; Azron,,,DM-RM-V1-0002
Azfel,/ahzfehl/,,Noun,Azan; EL,Girl (young feminine person),Refers to a female child.,,,,,,Azan; Azron,Azfel kal dren morl,The girl brings strength to the flowing mountain.,LX-V1-0011
Azon,/ah-zohn/,,Noun,,Feminine man,Describes a man with feminine qualities.,,,,,,,nethaen azon an nethor.,The feminine man sits on the chair.,LX-V1-0013
Azron,/ahzrohn/,,Noun,Azan,Woman (feminine person),Default term for women.,,,,,,Azan; Azfel,nethaen azron an nethor.,The woman sits on the chair.,LX-V1-0008
Bal,/bahl/,,Noun,,"Growth or sprouting (e.g., plants, development).",Conceptual range: Sprouting; development; budding growth,,,,,,Balemilaen; Balpral; Balpralaen; Balral; Balrin; Balshan; Balvek; Drobalaen; Mavbal; Pralbal; Shalbal,rinaen bal an verdsov.,There is growth in the garden.,XR-bal; DM-RM-V2-0005
Balemilaen,/bahl-eh-meel-ah-ehn/,"Food, Agriculture, and Preservation 2",Verb,BAL,To ferment; to transform food or drink through controlled activity of living cultures,,Bal living growth + Emil food or drink + -aen,,,,,Bal; Emil; Balpral; Emilbel; Balpralaen; Emildren; Balral; Emilolan; Balrin; Emilpral; Balshan; Emilpralaen; Balvek; Emilpraleth; Drobalaen; Emilrav; Mavbal; Emilshan; Pralbal; Emilshara; Shalbal; Emiltash; Emilzhir; Talemilaen,balemilaen I drenfellak.,I ferment the dough.,LX-FAP2-0020
Balpral,/bahl-prahl/,"Food, Agriculture, and Preservation 1",Noun,BAL; PRAL,Agriculture or farming as the skilled practice of deliberately raising useful living growth,,Bal growth + Pral skilled craft,,,Balapral,/bah-lah-prahl/,Bal; Pral; Balemilaen; Balpralaen; Belpralmek; Balral; Davapral; Balrin; Drenpralaen; Balshan; Dropralaen; Balvek; Emilpral; Drobalaen; Emilpralaen; Mavbal; Emilpraleth; Pralbal; Eshpral; Shalbal; Eshpralaen; Eshpralor; Kelpral; Krezpral; Krezpralaen; Mahrpral; Mahrpralor; Mekeshpral; Mekpralor; Morlpral; Morpralaen; Norpral; Pralaen; Pralfel; Pralhav; Pralilan; Pralin; Pralmor; Pralor; Pralral; Pralvek; Pralvinor; Pralvokesh; Rethpral; Rinpral; Selpralaen; Shenpralor; Tenarpralaen; Vekpralor; Velpralaen; Velpralim; Velpralor; Velpraltrakor; Vethpralaen; Welpralor; Zhaelpralaen; Zhelpralaen,kal balpral belvok.,Farming strengthens the family.,LX-FAP1-0001
Balpralaen,/bahl-prahl-ah-ehn/,"Food, Agriculture, and Preservation 1",Verb,BAL; PRAL,To cultivate; to tend living growth deliberately toward a useful harvest,,Bal growth + Pral skilled practice + -aen,,,Balapralaen,/bah-lah-prahl-ah-ehn/,Bal; Pral; Balemilaen; Balpral; Belpralmek; Balral; Davapral; Balrin; Drenpralaen; Balshan; Dropralaen; Balvek; Emilpral; Drobalaen; Emilpralaen; Mavbal; Emilpraleth; Pralbal; Eshpral; Shalbal; Eshpralaen; Eshpralor; Kelpral; Krezpral; Krezpralaen; Mahrpral; Mahrpralor; Mekeshpral; Mekpralor; Morlpral; Morpralaen; Norpral; Pralaen; Pralfel; Pralhav; Pralilan; Pralin; Pralmor; Pralor; Pralral; Pralvek; Pralvinor; Pralvokesh; Rethpral; Rinpral; Selpralaen; Shenpralor; Tenarpralaen; Vekpralor; Velpralaen; Velpralim; Velpralor; Velpraltrakor; Vethpralaen; Welpralor; Zhaelpralaen; Zhelpralaen,balpralaen I verdsov.,I cultivate the garden.,LX-FAP1-0004
Balral,/bahl-rahl/,"Food, Agriculture, and Preservation 1",Noun,BAL; RAL,Farmer or cultivator; a person responsible for raising crops,,Bal growth + Ral caretaker,,,Balaral,/bah-lah-rahl/,Bal; Ral; Balemilaen; Aennorral; Balpral; Aenthaelral; Balpralaen; Belvethral; Balrin; Belzorral; Balshan; Dovhavral; Balvek; Droral; Drobalaen; Eshlorral; Mavbal; Gavral; Pralbal; Karthaelral; Shalbal; Kavral; Kelvekral; Khumkelral; Krenral; Lorbelral; Lormekral; Lorvekral; Mekral; Mormekral; Naklorral; Neshbrenral; Nkural; Norpralral; Pralral; Rinpralral; Shenral; Thaelral; Vethral; Xarvethral; Zhaelral; Zhirkelral,kes balral bal an sov.,The farmer notices growth in the field.,LX-FAP1-0002
Balrin,/bahlreen/,,Noun,BAL; RIN,Growing food,Bal + rin = essence,,,,,,Bal; Rin; Balemilaen; Rin-; Balpral; Arthrin; Balpralaen; Belrin; Balral; Brosrin; Balshan; Kalrin; Balvek; Kelrin; Drobalaen; Kesrin; Mavbal; Phelrin; Pralbal; Rathrin; Shalbal; Rinaen; Rinarshor; Rinaru; Rinbel; Rinbelxar; Rinmek; Rinpel; Rinpral; Rinshen; Rinvarash; Rinvek; Serathrin; Shalrin; Talrin; Vaarrin; Velrin; Vethrin; Welrin; Xarrin,Balrin var dren.,The sprouting food grows by the water.,LX-V2-0098
Balshan,/bahl-shahn/,"Environment, Geography, and Ecology 1",Noun,BAL; SHAN,Pollination; transfer of reproductive plant material enabling seed or fruit formation,,Bal growth + Shan transfer,,,,,Bal; Shan; Balemilaen; Anshanaen; Balpral; Belshan; Balpralaen; Davashanaen; Balral; Dralshaneth; Balrin; Emilshan; Balvek; Lorzhiranshan; Drobalaen; Lorzhirthalshan; Mavbal; Mavbalshanaen; Pralbal; Mavbalshaneth; Shalbal; Morlshan; Ndemshan; Nokashan; Norshan; Ohmshan; Ravshan; Selshan; Shalshan; Shanartheth; Shankalaen; Shanmek; Shanmorl; Shannali; Shantham; Shanvelrathor; Shanvelzhiraen; Terrashaneth; Thalshanaen; Urenshan; Vaarshan; Varshanmek; Velpralim; Worshankal; Zhelshan; Zhelshaneth,dor balral balvek an mor shalnor balshan.,The farmer puts seed in the soil before pollination.,LX-EGE1-0040
Balvek,/bahl-vehk/,"Environment, Geography, and Ecology 1",Noun,BAL; VEK,Seed; a compact growth-bearing body capable of beginning a new plant,,Bal living growth + Vek carrier,,,,,Bal; Vek; Balemilaen; Anvekaen; Balpral; Belvekaen; Balpralaen; Dorvekaen; Balral; Drenkavvek; Balrin; Eshvek; Balshan; Felvek; Drobalaen; Jekzhirvek; Mavbal; Karvek; Pralbal; Kavvek; Shalbal; Kelvekral; Kormekvek; Krenzhirvek; Krezdrenvek; Krezvek; Lorvekaen; Lorvekral; Mahrvek; Mahrxarvek; Morvek; Ndavivek; Nethvek; Ngarvek; Pralvek; Ravjorvek; Ravvekaen; Rinvek; Shalilvek; Thalvekaen; Thamvek; Urenvek; Varvek; Vekaen; Vekin; Vekmor; Vekpralor; Vekvaraen; Vekxaror; Welvek; Xarvek; Zhelvek; Zhirvek,rinaen verdpel ser balvek.,The grass bears seed.,LX-EGE1-0039
Bel,/behl/,,Verb,,"To bind or weave (symbolizing interconnection, fabric, or networks).",Conceptual range: Binding; weaving; systems; civilization,,,,,,Bel-; Belar; Beldava; Belkes; Belkor; Belkoraen; Belkren; Belmek; Belmor; Belnoraen; Belor; Belpralmek; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,bel mekral zhelvorkor ser zhelpel.,The technician connects the switch to the terminal.,XR-bel; DM-RM-V2-0003
Bel-,/behl-/,,Verb,,"To bind, weave, connect, fasten; civilization, bonds, restrictions, systems.",Conceptual layer preserved.,,,,,,Bel; Belar; Beldava; Belkes; Belkor; Belkoraen; Belkren; Belmek; Belmor; Belnoraen; Belor; Belpralmek; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,,,DM-RM-S3-0013
Bel'Rathorimeth,/behl'rahthoh-ree-mehth/,,Noun,,Memory-Weaving Ritual.,,,,,,,,,,LX-V3-0076
Belar,/beh-lahr/,,Noun,BEL; Ar,"A blending spice; a seasoning used primarily to unite, balance, or mellow several flavors in a dish",The source gloss “Binding spice” is preserved and clarified by culinary function.,,,,,,Bel; Ar; Bel-; Beldava; Belkes; Belkor; Belkoraen; Belkren; Belmek; Belmor; Belnoraen; Belor; Belpralmek; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,Nethaen belar an dren.,The binding spice rests by the water.,LX-V2-0096
Beldava,/behl-dah-vah/,"Information, Computation, Automation, and Electrical Systems 1",Noun,DAVA; BEL,Database; an organized body of related information or records structured for reliable retrieval,,Bel organized system + Dava information,,,,,Dava; Bel; Andavaen; Bel-; Davapral; Belar; Davashanaen; Belkes; Davaxar; Belkor; Deldavaen; Belkoraen; Kavdava; Belkren; Kavdavaen; Belmek; Kavdeldava; Belmor; Kaxardavaen; Belnoraen; Kesdava; Belor; Kesdavaen; Belpralmek; Rethdava; Belraku; Rethzheldava; Belreth; Shendava; Belrin; Thaldavaen; Belrinpel; Xardava; Belshan; Xardavaen; Belshara; Zheldava; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,dor kavral davaxar an beldava.,The archivist puts the file in the database.,LX-ICAES1-0005
Belkes,/behl-kehs/,"Science, Astronomy, and Cosmology 1",Noun,BEL; KES,Scientific theory; an organized explanatory framework supported by converging evidence and repeated successful testing,,Bel organized structure + Kes observation,,,,,Bel; Kes; Bel-; Kesbrenaen; Belar; Kesdava; Beldava; Kesdavaen; Belkor; Keshen; Belkoraen; Kesmek; Belkren; Kesrin; Belmek; Kesvar; Belmor; Kesxar; Belnoraen; Khumkes; Belor; Mavkes; Belpralmek; Mekkes; Belraku; Shenkes; Belreth; Shenkesor; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,siv shenral sivkel; bel shenral kesdava an belkes.,The researcher tests the hypothesis and binds the evidence into a theory.,LX-SAC1-0036
Belkor,/behlkohr/,,Noun,BEL; KOR,"Tunic, Shirt",Bel (weave) + Kor (core),,,,,,Bel; Kor; Bel-; Aivkor; Belar; Belkoraen; Beldava; Drenkor; Belkes; Drenkorath; Ekor; Belkren; Jelkor; Belmek; Korin; Belmor; Korkalvar; Belnoraen; Kormek; Belor; Kormor; Belpralmek; Kornali; Belraku; Korpir; Belreth; Korsharvar; Belrin; Korwek; Belrinpel; Shalkor; Belshan; Vorkor; Belshara; Zhelkor; Belshen; Zhirkor; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,pralaen belkor an Azron nor-ka.,The tunic was made by the woman.,LX-V4-0036
Belkoraen,/behl-koh-rah-ehn/,Post-Fracture Mechanics 1,Verb,BEL; KOR,To anchor a person object or place to a stable reference so displacement is resisted,,Bel + Kor + -aen,,,,,Bel; Kor; Bel-; Aivkor; Belar; Belkor; Beldava; Drenkor; Belkes; Drenkorath; Ekor; Belkren; Jelkor; Belmek; Korin; Belmor; Korkalvar; Belnoraen; Kormek; Belor; Kormor; Belpralmek; Kornali; Belraku; Korpir; Belreth; Korsharvar; Belrin; Korwek; Belrinpel; Shalkor; Belshan; Vorkor; Belshara; Zhelkor; Belshen; Zhirkor; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,belkoraen seren sharavok.,The guardian anchors the caravan.,LX-PFM1-0040
Belkren,/behl-krehn/,"Clothing, Wearable Protection, and Ordinary Materials 2",Noun,BEL; KREN,An alloy; a deliberately combined metallic material whose properties differ from those of its component metals,,Bel binding or joined system + Kren metal,,,Belakren,/beh-lah-krehn/,Bel; Kren; Bel-; Krenral; Belar; Krenzhir; Beldava; Belkes; Belkor; Belkoraen; Belmek; Belmor; Belnoraen; Belor; Belpralmek; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,rinaen arthaxar thal belkren.,The armor is made from an alloy.,LX-CWM2-0016
Belmek,/behl-mehk/,"Clothing, Wearable Protection, and Ordinary Materials 1",Noun,BEL; MEK,"A reusable mechanical fastener, including a buckle or clasp, that joins or adjusts straps or garment parts",,Bel fastening + Mek constructed mechanism,,,,,Bel; Mek; Belmekaen; Bel-; Anmek; Kabelmekaen; Belar; Belpralmek; Beldava; Drojormek; Belkes; Felmek; Belkor; Jekmek; Belkoraen; Kalmek; Belkren; Karmek; Belmor; Kesmek; Belnoraen; Kormek; Belor; Lormek; Lormekral; Belraku; Mekaru; Belreth; Mekeshpral; Belrin; Mekkes; Belrinpel; Mekor; Belshan; Mekpralor; Belshara; Mekral; Belshen; Mekrask; Belsura; Mekreth; Belthal; Mekshara; Belvekaen; Mormek; Belvelrathor; Nethmek; Belverd; Normek; Belvethral; Rakumek; Belvok; Rinmek; Belwek; Selmek; Belxar; Shanmek; Belzhir; Shenmek; Belzhirkavor; Thalmek; Belzhirvek; Varokmek; Belzor; Varshanmek; Belzoraen; Velmek; Dralbelaen; Wekmek; Drobel; Zhelvek; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,rinaen belmek an zhirvok.,The buckle is on the belt.,LX-CWM1-0012
Belmekaen,/behl-mehk-ah-ehn/,"Clothing, Wearable Protection, and Ordinary Materials 1",Verb,,To fasten or secure something with a clasp buckle or comparable reusable mechanism,,Belmek fastener + -aen,,,,,Belmek; Kabelmekaen,belmekaen I zhirvok.,I fasten the belt.,LX-CWM1-0013
Belmor,/behlmohr/,,Noun,BEL; MOR,A root spice; a seasoning made from the root or rhizome of a plant,The source gloss “Root Spice” is preserved and clarified by botanical source.,,,,,,Bel; Mor; Bel-; Brenmor; Belar; Felmor; Beldava; Hirmor; Belkes; Kadromor; Belkor; Kinnmor; Belkoraen; Kormor; Belkren; Krezmorath; Belmek; Mavmor; Belnoraen; Mbalanmor; Belor; Moraen; Belpralmek; Mordralfel; Belraku; Moreth; Belreth; Morkal; Belrin; Morkar; Belrinpel; Mormek; Belshan; Morolan; Belshara; Morpralaen; Belshen; Morshen; Belsura; Morthas; Belthal; Morthera; Belvekaen; Morvek; Belvelrathor; Morvenak; Belverd; Morzhael; Belvethral; Morzhelshan; Belvok; Ndavimor; Belwek; Pralmor; Belxar; Rethmor; Belzhir; Selmor; Belzhirkavor; Tharmor; Belzhirvek; Tlamor; Belzor; Vekmor; Belzoraen; Velmor; Dralbelaen; Welmor; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,Belmor kal dren.,The root spice strengthens with water.,LX-V2-0159
Belnoraen,/behl-nohr-ah-ehn/,"Information, Computation, Automation, and Electrical Systems 1",Verb,BEL; NOR,To synchronize; to bring connected participants or systems into the same relevant timing sequence or information state,,Bel coordinated system + Nor time or event flow + -aen verb,,,,,Bel; Nor; Bel-; Aennor; Belar; Athnor; Beldava; Delnor; Belkes; Eshnor; Belkor; Eshweknor; Belkoraen; Felnor; Belkren; Jornor; Belmek; Nethnor; Belmor; nor-ka; Belor; Noraen; Belpralmek; Noral; Belraku; Normav; Belreth; Normek; Belrin; Norpral; Belrinpel; Norreth; Belshan; Norshan; Belshara; Norzhir; Belshen; Pelnor; Belsura; Rathnor; Belthal; Sernor; Belvekaen; Shalnor; Belvelrathor; Thalnor; Belverd; Thalnoraen; Belvethral; Varnor; Belvok; Velnor; Belwek; Vethnor; Belxar; Weknor; Belzhir; Xilnor; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,kesdavaen shenral beldava; belnoraen la kavdava.,The researcher searches the database and synchronizes the records.,LX-ICAES1-0028
Belor,/beh-lohr/,Government and Civic Institutions 1,Noun,BEL,Institution; an enduring organized body or system established to perform a recognized social civic educational religious or economic function,,Bel organized system or binding + -or realized domain,,,,,Bel; Felbelor; Bel-; Belar; Beldava; Belkes; Belkor; Belkoraen; Belkren; Belmek; Belmor; Belnoraen; Belpralmek; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,rinaen velkelor belor.,The library is an institution.,LX-GCI1-0001
